"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","230.82","232.90","232.99","230.12","24.38M","-0.74%"
"12/30/2025","232.53","231.21","232.77","230.20","21.91M","0.20%"
"12/29/2025","232.07","231.94","232.60","230.77","19.80M","-0.19%"
"12/26/2025","232.52","232.04","232.99","231.18","15.99M","0.06%"
"12/24/2025","232.38","232.13","232.95","231.33","11.42M","0.10%"
"12/23/2025","232.14","229.05","232.45","228.73","29.23M","1.62%"
"12/22/2025","228.43","228.61","229.48","226.71","32.26M","0.48%"
"12/19/2025","227.35","226.76","229.13","225.58","85.54M","0.26%"
"12/18/2025","226.76","225.71","229.23","224.41","50.27M","2.48%"
"12/17/2025","221.27","224.65","225.19","220.99","44.03M","-0.58%"
"12/16/2025","222.56","223.04","223.66","221.13","39.30M","0.01%"
"12/15/2025","222.54","227.93","227.93","221.50","47.29M","-1.61%"
"12/12/2025","226.19","229.87","230.08","225.12","35.64M","-1.78%"
"12/11/2025","230.28","230.71","232.11","228.69","28.25M","-0.65%"
"12/10/2025","231.78","228.80","232.42","228.46","38.79M","1.69%"
"12/09/2025","227.92","226.84","228.57","225.11","25.84M","0.45%"
"12/08/2025","226.89","229.59","230.83","226.27","35.02M","-1.15%"
"12/05/2025","229.53","230.32","231.24","228.55","33.12M","0.18%"
"12/04/2025","229.11","232.77","233.50","226.80","45.68M","-1.41%"
"12/03/2025","232.38","233.35","233.38","230.61","35.50M","-0.87%"
"12/02/2025","234.42","235.01","238.97","233.55","45.79M","0.23%"
"12/01/2025","233.88","233.22","235.80","232.25","42.90M","0.28%"
"11/28/2025","233.22","231.24","233.29","230.22","20.29M","1.77%"
"11/26/2025","229.16","230.74","231.75","228.77","38.50M","-0.22%"
"11/25/2025","229.67","226.38","230.52","223.80","39.38M","1.50%"
"11/24/2025","226.28","222.55","227.33","222.27","54.32M","2.53%"
"11/21/2025","220.69","216.35","222.21","215.18","68.49M","1.63%"
"11/20/2025","217.14","227.05","227.41","216.74","50.31M","-2.49%"
"11/19/2025","222.69","223.74","223.74","218.52","58.34M","0.06%"
"11/18/2025","222.55","228.10","230.20","222.42","60.61M","-4.43%"
"11/17/2025","232.87","233.25","234.60","229.19","59.92M","-0.78%"
"11/14/2025","234.69","235.06","238.73","232.89","38.96M","-1.22%"
"11/13/2025","237.58","243.05","243.75","236.50","41.40M","-2.71%"
