Date,Price,Open,High,Low,Vol.,Change%
12/31/2025,681.92,687.14,687.36,681.71,74.14M,-0.74%
12/30/2025,687.01,687.45,688.55,686.58,47.16M,-0.12%
12/29/2025,687.85,687.54,689.2,686.07,62.56M,-0.36%
12/26/2025,690.31,690.64,691.66,689.27,41.61M,-0.01%
12/25/2025,690.38,687.95,690.38,690.38,39.45M,0.00%
12/24/2025,690.38,687.95,690.83,687.8,39.45M,0.35%
12/23/2025,687.96,683.92,688.2,683.87,64.84M,0.46%
12/22/2025,684.83,683.94,685.36,680.59,69.56M,0.62%
12/19/2025,680.59,676.59,681.09,676.47,103.60M,0.61%
12/18/2025,676.47,677.6,680.74,674.9,108.65M,0.76%
12/17/2025,671.4,679.89,680.43,671.2,110.63M,-1.10%
12/16/2025,678.87,679.23,681.08,674.98,122.03M,-0.27%
12/15/2025,680.73,685.74,685.76,679.25,90.81M,-0.15%
12/12/2025,681.76,688.17,688.88,679.17,113.16M,-1.08%
12/11/2025,689.17,685.14,689.25,682.16,86.17M,0.23%
12/10/2025,687.57,682.56,688.97,681.31,85.67M,0.66%
12/09/2025,683.04,683.15,685.39,682.59,58.31M,-0.09%
12/08/2025,683.63,686.59,686.64,681.57,55.23M,-0.30%
12/05/2025,685.69,685.47,688.39,684.58,79.24M,0.19%
12/04/2025,684.39,685.3,685.37,681.34,61.97M,0.07%
12/03/2025,683.89,680.57,684.91,679.69,57.24M,0.35%
12/02/2025,681.53,681.92,683.82,679.33,62.95M,0.19%
12/01/2025,680.27,678.81,682.99,678.74,61.20M,-0.46%
11/28/2025,683.39,680.86,683.66,680.5,49.21M,0.55%
11/26/2025,679.68,677.63,681.7,676.72,71.88M,0.69%
11/25/2025,675.02,668.63,676.21,664.48,81.08M,0.94%
11/24/2025,668.73,662.69,670.06,661.59,80.44M,1.47%
11/21/2025,659.03,655.05,664.55,650.85,123.96M,1.00%
11/20/2025,652.53,672.91,675.56,651.89,165.29M,-1.52%
11/19/2025,662.63,660.78,667.34,658.74,94.70M,0.39%
11/18/2025,660.08,662.09,665.12,655.86,114.47M,-0.84%
11/17/2025,665.67,669.7,673.71,662.17,90.46M,-0.93%
11/14/2025,671.93,665.38,675.66,663.27,96.85M,-0.02%
11/13/2025,672.04,680.5,680.86,670.52,103.46M,-1.66%
11/12/2025,683.38,684.79,684.96,680.95,62.31M,0.06%
11/11/2025,683.0,679.95,683.57,678.73,58.95M,0.23%
11/10/2025,681.44,677.23,682.18,675.03,75.84M,1.56%
11/07/2025,670.97,667.91,671.08,661.21,100.59M,0.10%
11/06/2025,670.31,676.47,677.38,668.72,85.04M,-1.07%
11/05/2025,677.58,674.98,680.86,674.17,74.40M,0.35%
11/04/2025,675.24,676.11,679.96,674.58,78.43M,-1.19%
11/03/2025,683.34,685.67,685.8,679.94,57.32M,0.19%
10/31/2025,682.06,685.04,685.08,679.24,87.16M,0.33%
10/30/2025,679.83,683.9,685.94,679.83,76.34M,-1.10%
10/29/2025,687.39,688.72,689.7,682.87,85.36M,0.05%
10/28/2025,687.06,687.05,688.91,684.83,61.74M,0.27%
10/27/2025,685.24,682.73,685.54,682.11,63.34M,1.18%
10/24/2025,677.25,676.46,678.47,675.65,74.36M,0.82%
10/23/2025,671.76,668.12,672.71,667.8,65.60M,0.59%
10/22/2025,667.8,672.0,672.0,663.3,80.56M,-0.52%
10/21/2025,671.29,671.44,672.99,669.98,56.25M,0.00%
10/20/2025,671.3,667.32,672.21,667.27,60.49M,1.04%
10/17/2025,664.39,659.5,665.76,658.14,96.50M,0.57%
10/16/2025,660.64,666.82,668.71,657.11,110.56M,-0.68%
10/15/2025,665.17,666.82,670.23,658.93,81.70M,0.44%
10/14/2025,662.23,657.17,665.83,653.17,88.78M,-0.12%
10/13/2025,663.04,660.65,665.13,659.77,79.56M,1.53%
10/10/2025,653.02,672.13,673.95,652.84,159.42M,-2.70%
10/09/2025,671.16,673.53,673.94,669.21,66.50M,-0.29%
10/08/2025,673.11,670.25,673.21,669.42,60.70M,0.60%
10/07/2025,669.12,672.54,672.99,667.67,72.02M,-0.37%
10/06/2025,671.61,671.62,672.51,669.46,54.62M,0.36%
10/03/2025,669.21,669.99,672.67,668.16,70.49M,0.00%
10/02/2025,669.22,670.45,670.57,666.78,56.90M,0.12%
10/01/2025,668.45,663.17,669.37,663.06,72.55M,0.34%
09/30/2025,666.18,662.93,666.65,661.61,86.29M,0.38%
09/29/2025,663.68,664.36,665.28,661.86,73.50M,0.28%
09/26/2025,661.82,659.51,662.37,657.88,69.18M,0.57%
